german,article,plural,english,level,category
Fan,der,Fans,fan,A2,people
Farbe,die,Farben,color,A2,general
Fest,das,Feste,festival/celebration,A2,general
Festival,das,Festivals,festival,A2,general
Fieber,das,,fever,A2,health
Film,der,Filme,film/movie,A2,general
Firma,die,Firmaen,company/firm,A2,education
Fisch,der,Fische,fish,A2,food
Flasche,die,Flaschen,bottle,A2,general
Fleisch,das,,meat,A2,food
Flohmarkt,der,Flohmärkte,flea market,A2,places
Flug,der,Flüge,flight,A2,transportation
Flughafen,der,Flughäfen,airport,A2,places
Flugzeug,das,Flugzeuge,airplane,A2,transportation
Fluss,der,Flüsse,river,A2,nature
Formular,das,Formulare,form,A2,general
Foto,das,Fotos,photo,A2,general
Fotoapparat,der,Fotoapparate,camera,A2,general
Frage,die,Fragen,question,A2,communication
Frau,die,Frauen,woman/wife/Mrs.,A2,people
Freizeit,die,,free time/leisure,A2,time
Freund,der,Freunde,friend (male),A2,people
Freundin,die,Freundinnen,friend (female)/girlfriend,A2,people
Frühstück,das,,breakfast,A2,food
Fundsachen,die,Fundsachen,lost and found items,A2,general
Fuß,der,Füße,foot,A2,body
Fußball,der,Fußbälle,soccer/football,A2,general
Führerschein,der,Führerscheine,driver's license,A2,general
Führung,die,Führungen,tour/guide/leadership,A2,general
Gabel,die,Gabeln,fork,A2,general
Garage,die,Garagen,garage,A2,home
Garten,der,Gärten,garden,A2,home
Gast,der,Gäste,guest,A2,people
Geburtsjahr,das,Geburtsjahre,year of birth,A2,time
Geburtsort,der,Geburtsorte,place of birth,A2,places
Geburtstag,der,Geburtstage,birthday,A2,time
Gegenteil,das,Gegenteile,opposite,A2,general
Gehalt,das,Gehälter,salary,A2,money
Geld,das,,money,A2,money
Geldbörse,die,Geldbörsen,wallet/purse,A2,general
Gemüse,das,,vegetables,A2,food
Gepäck,das,,luggage,A2,transportation
Gericht,das,Gerichte,dish/court,A2,food
Gerät,das,Geräte,device/appliance,A2,general
Geschenk,das,Geschenke,gift/present,A2,general
Geschichte,die,Geschichten,story/history,A2,general
Geschirr,das,,dishes/tableware,A2,furniture
Geschäft,das,Geschäfte,shop/business,A2,places
Gesicht,das,Gesichter,face,A2,body
Gespräch,das,Gespräche,conversation,A2,communication
Gesundheit,die,,health,A2,health
Getränk,das,Getränke,drink/beverage,A2,food
Gewitter,das,Gewitter,thunderstorm,A2,weather
Gitarre,die,Gitarren,guitar,A2,general
Glas,das,Gläser,glass,A2,general
Gleis,das,Gleise,platform/track,A2,transportation
Glück,das,,luck/happiness,A2,general
Glückwunsch,der,Glückwünsche,congratulations,A2,communication
Grippe,die,,flu,A2,health
Gruppe,die,Gruppen,group,A2,general
Gruß,der,Grüße,greeting,A2,communication
Größe,die,Größen,size,A2,general
Haar,das,Haare,hair,A2,body
Halle,die,Hallen,hall,A2,places
Hals,der,Hälse,neck/throat,A2,body
Haltestelle,die,Haltestellen,stop,A2,transportation
Hamburger,der,Hamburger,hamburger,A2,food
Hand,die,Hände,hand,A2,body
Handtuch,das,Handtücher,towel,A2,home
Handy,das,Handys,mobile phone,A2,communication
Hauptstadt,die,Häuptstadte,capital city,A2,places
Haus,das,Häuser,house,A2,home
Haushalt,der,Haushalte,household,A2,home
Heft,das,Hefte,notebook,A2,education
Heimat,die,,homeland,A2,places
Herd,der,Herde,stove,A2,furniture
Herr,der,Herren,Mr./gentleman,A2,people
Hilfe,die,,help,A2,general
Himmel,der,,sky/heaven,A2,nature
Hobby,das,Hobbys,hobby,A2,general
Hochzeit,die,Hochzeiten,wedding,A2,general
Homepage,die,Homepages,homepage/website,A2,communication
Hose,die,Hosen,pants/trousers,A2,clothing
Hotel,das,Hotels,hotel,A2,places
Hund,der,Hunde,dog,A2,animals
Hunger,der,,hunger,A2,food
Hähnchen,das,Hähnchen,chicken,A2,food
Idee,die,Ideen,idea,A2,general
Instrument,das,Instrumente,instrument,A2,general
Interesse,das,Interessen,interest,A2,general
Internet,das,,internet,A2,communication
Interview,das,Interviews,interview,A2,communication
Jacke,die,Jacken,jacket,A2,clothing
Jeans,die,Jeans,jeans,A2,clothing
Job,der,Jobs,job,A2,education
Jugendherberge,die,Jugendherbergen,youth hostel,A2,places
Jugendliche,der,Jugendlichen,young person/teenager,A2,people
Junge,der,Jungen,boy,A2,people
Kaffee,der,Kaffees,coffee,A2,food
Kalender,der,Kalender,calendar,A2,time
Kamera,die,Kameras,camera,A2,general
Karte,die,Karten,card/map/ticket,A2,general
Kartoffel,die,Kartoffeln,potato,A2,food
Kasse,die,Kassen,cash register/checkout,A2,money
Katze,die,Katzen,cat,A2,animals
Kaufhaus,das,Kaufhäuser,department store,A2,places
Keller,der,Keller,cellar/basement,A2,home
Kenntnisse,die,Kenntnisse,knowledge/skills,A2,education
Kette,die,Ketten,chain/necklace,A2,general
Kind,das,Kinder,child,A2,people
Kindergarten,der,Kindergärten,kindergarten,A2,education
Kino,das,Kinos,cinema,A2,places
Kiosk,der,Kioske,kiosk,A2,places
Kirche,die,Kirchen,church,A2,places
Klavier,das,Klaviere,piano,A2,general
Kleid,das,Kleider,dress,A2,clothing
Kleidung,die,,clothing,A2,clothing
Koffer,der,Koffer,suitcase,A2,general
Kollege,der,Kollegen,colleague (male),A2,people
Kollegin,die,Kolleginnen,colleague (female),A2,people
Kontakt,der,Kontakte,contact,A2,communication
Konto,das,Kontoen,account,A2,money
Konzert,das,Konzerte,concert,A2,general
Kopf,der,Köpfe,head,A2,body
Kosmetik,die,,cosmetics,A2,general
Kredit,der,Kredite,credit/loan,A2,money
Kreuzung,die,Kreuzungen,intersection/crossing,A2,places
Krimi,der,Krimis,crime story/thriller,A2,general
Kuchen,der,Kuchen,cake,A2,food
Kultur,die,Kulturen,culture,A2,general
Kunde,der,Kunden,customer (male),A2,people
Kundin,die,Kundinnen,customer (female),A2,people
Kunst,die,Künste,art,A2,general
Kurs,der,Kurse,course,A2,education
Käse,der,,cheese,A2,food
Körper,der,Körper,body,A2,body
Küche,die,Küchen,kitchen,A2,home
Kühlschrank,der,Kühlschränke,refrigerator,A2,furniture
Laden,der,Läden,shop/store,A2,places
Lampe,die,Lampen,lamp,A2,furniture
Land,das,Länder,country/land,A2,places
Landschaft,die,Landschaften,landscape,A2,nature
Leben,das,Leben,life,A2,general
Lebensmittel,die,Lebensmittel,groceries/food,A2,food
Licht,das,Lichter,light,A2,general
Lied,das,Lieder,song,A2,general
Link,der,Links,link,A2,communication
Lokal,das,Lokale,restaurant/pub,A2,places
Lust,die,,desire/pleasure,A2,general
Löffel,der,Löffel,spoon,A2,general
Lüge,die,Lügen,lie,A2,communication
Magen,der,Mägen,stomach,A2,body
Mailbox,die,Mailboxen,mailbox/voicemail,A2,communication
Mal,das,Male,time/occasion,A2,time
Mann,der,Männer,man/husband,A2,people
Mannschaft,die,Mannschaften,team,A2,general
Mantel,der,Mäntel,coat,A2,clothing
Markt,der,Märkte,market,A2,places
Maschine,die,Maschinen,machine,A2,general
Medikament,das,Medikamente,medication/medicine,A2,health
Meer,das,Meere,sea/ocean,A2,nature
Meinung,die,Meinungen,opinion,A2,communication
Menge,die,Mengen,amount/quantity,A2,general
Mensch,der,Menschen,person/human,A2,people
Messer,das,Messer,knife,A2,general
Miete,die,Mieten,rent,A2,money
Milch,die,,milk,A2,food
Mineralwasser,das,,mineral water,A2,food
Mitarbeiter,der,Mitarbeiter,employee/coworker,A2,people
Mittagessen,das,Mittagessen,lunch,A2,food
Mitte,die,Mitten,middle/center,A2,general
Mittel,das,Mittel,means/remedy,A2,general
Mobiltelefon,das,Mobiltelefone,mobile phone,A2,communication
Mode,die,Moden,fashion,A2,general
Moment,der,Momente,moment,A2,time
Motor,der,Motoren,motor/engine,A2,general
Motorroller,der,Motorroller,scooter,A2,transportation
Mund,der,Münder,mouth,A2,body
Museum,das,Museumeen,museum,A2,places
Musik,die,,music,A2,general
Mädchen,das,Mädchen,girl,A2,people
Möbel,die,Möbel,furniture,A2,furniture
Mütze,die,Mützen,cap/hat,A2,clothing
Nachbar,der,Nachbarn,neighbor (male),A2,people
Nachbarin,die,Nachbarinnen,neighbor (female),A2,people
Nachricht,die,Nachrichten,message/news,A2,communication
Name,der,Namen,name,A2,people
Natur,die,,nature,A2,nature
Nähe,die,,proximity/vicinity,A2,general
Ohr,das,Ohren,ear,A2,body
Orange,die,Orangen,orange,A2,food
Ordnung,die,Ordnungen,order/tidiness,A2,general
Ort,der,Orte,place/location,A2,places
Paar,das,Paare,pair/couple,A2,general
Paket,das,Pakete,package/parcel,A2,general
Papier,das,Papiere,paper,A2,general
Papiere,die,Papiere,documents/papers,A2,general
Parfüm,das,Parfüms,perfume,A2,general
Park,der,Parks,park,A2,places
Partner,der,Partner,partner (male),A2,people
Partnerin,die,Partnerinnen,partner (female),A2,people
Party,die,Partys,party,A2,general
Pass,der,Pässe,passport,A2,general
Passwort,das,Passwörter,password,A2,communication
Pause,die,Pausen,break/pause,A2,time
Person,die,Personen,person,A2,people
Pferd,das,Pferde,horse,A2,animals
Pflanze,die,Pflanzen,plant,A2,nature
Pizza,die,Pizzas/-en,pizza,A2,food
Plakat,das,Plakate,poster,A2,general
Plan,der,Pläne,plan,A2,general
Platz,der,Plätze,place/seat/square,A2,places
Polizei,die,,police,A2,places
Pommes frites,die,Pommes frites,french fries,A2,food
Portion,die,Portionen,portion/serving,A2,food
Post,die,,post office/mail,A2,places
Poster,das,Poster,poster,A2,general
Postkarte,die,Postkarten,postcard,A2,communication
Postleitzahl,die,Postleitzahlen,postal code,A2,general
Praktikum,das,Praktikuma,internship,A2,education
Praxis,die,Praxisen,practice/office,A2,health
Preis,der,Preise,price,A2,money
Problem,das,Probleme,problem,A2,general
Produkt,das,Produkte,product,A2,general
Programm,das,Programme,program,A2,general
Projekt,das,Projekte,project,A2,general
Prospekt,der,Prospekte,brochure,A2,general
Prüfung,die,Prüfungen,exam/test,A2,education
Pullover,der,Pullover,sweater/pullover,A2,clothing
Quiz,das,,quiz,A2,general
Radio,das,Radios,radio,A2,general
Rathaus,das,Rathäuser,town hall,A2,places
Raum,der,Räume,room/space,A2,home
Rechnung,die,Rechnungen,bill/invoice,A2,money
Regen,der,,rain,A2,weather
Reinigung,die,Reinigungen,cleaning/dry cleaner,A2,places
Reis,der,,rice,A2,food
Reise,die,Reisen,trip/journey,A2,general
Reisebüro,das,Reisebüros,travel agency,A2,places
Reiseführer,der,Reiseführer,travel guide/guidebook,A2,general
Rentner,der,Rentner,retiree/pensioner (male),A2,people
Rentnerin,die,Rentnerinnen,retiree/pensioner (female),A2,people
Reparatur,die,Reparaturen,repair,A2,general
Restaurant,das,Restaurants,restaurant,A2,places
Rezept,das,Rezepte,recipe/prescription,A2,health
Rezeption,die,Rezeptionen,reception,A2,places
Rind,das,Rinder,cattle/beef,A2,food
Ring,der,Ringe,ring,A2,general
Rock,der,Röcke,skirt,A2,clothing
Rose,die,Rosen,rose,A2,nature
Rucksack,der,Rucksäcke,backpack,A2,general
Ruhe,die,,rest/quiet,A2,general
Rundgang,der,Rundgänge,tour/walk,A2,general
Rätsel,das,Rätsel,puzzle/riddle,A2,general
Rücken,der,Rücken,back,A2,body
Saft,der,Säfte,juice,A2,food
Salat,der,Salate,salad/lettuce,A2,food
Salz,das,Salze,salt,A2,food
Satz,der,Sätze,sentence,A2,general
Schere,die,Scheren,scissors,A2,general
Schiff,das,Schiffe,ship,A2,transportation
Schild,das,Schilder,sign,A2,general
Schirm,der,Schirme,umbrella,A2,general
Schlafzimmer,das,Schlafzimmer,bedroom,A2,home
Schloss,das,Schlösser,castle/lock,A2,places
Schluss,der,Schlüsse,end/conclusion,A2,time
Schlüssel,der,Schlüssel,key,A2,general
Schmerz,der,Schmerzen,pain,A2,health
Schnee,der,,snow,A2,weather
Schokolade,die,,chocolate,A2,food
Schrank,der,Schränke,closet/cupboard,A2,furniture
Schuh,der,Schuhe,shoe,A2,clothing
Schule,die,Schulen,school,A2,education
Schwester,die,Schwestern,sister,A2,people
Schwimmbad,das,Schwimmbäder,swimming pool,A2,places
Schüler,der,Schüler,student/pupil (male),A2,people
Schülerin,die,Schülerinnen,student/pupil (female),A2,people
See,der,Seen,lake,A2,nature
See,die,,sea,A2,nature
Sehenswürdigkeit,die,Sehenswürdigkeiten,sight/attraction,A2,places
Seife,die,Seifen,soap,A2,home
Seite,die,Seiten,page/side,A2,general
Sendung,die,Sendungen,program/broadcast,A2,communication
Service,der,,service,A2,general
Sofa,das,Sofas,sofa/couch,A2,furniture
Sohn,der,Söhne,son,A2,people
Sonne,die,Sonnen,sun,A2,weather
Spaziergang,der,Spaziergänge,walk,A2,general
Spaß,der,,fun,A2,general
Speisekarte,die,Speisekarten,menu,A2,food
Spiel,das,Spiele,game,A2,general
Sport,der,,sport,A2,general
Sportplatz,der,Sportplätze,sports field,A2,places
Sprache,die,Sprachen,language,A2,communication
Sprechstunde,die,Sprechstunden,office hours/consultation,A2,health
Stadt,die,Städte,city/town,A2,places
Stadtplan,der,Stadtpläne,city map,A2,general
Star,der,Stars,star,A2,people
Stelle,die,Stellen,position/place/job,A2,education
Stiefel,der,Stiefel,boot,A2,clothing
Stift,der,Stifte,pen/pencil,A2,education
Stipendium,das,Stipendiumen,scholarship,A2,education
Stock,der,Stöcke,floor/story,A2,home
Stockwerk,das,Stockwerke,floor/story,A2,home
Strand,der,Strände,beach,A2,places
Straße,die,Straßen,street,A2,places
Straßenbahn,die,Straßenbahnen,tram/streetcar,A2,transportation
Stress,der,,stress,A2,general
Student,der,Studenten,student (male),A2,people
Studentin,die,Studentinnen,student (female),A2,people
Studium,das,,studies,A2,education
Stuhl,der,Stühle,chair,A2,furniture
Stunde,die,Stunden,hour/lesson,A2,time
Stück,das,Stücke,piece,A2,general
Suppe,die,Suppen,soup,A2,food
Süßigkeiten,die,Süßigkeiten,sweets/candy,A2,food
T-Shirt,das,T-Shirts,t-shirt,A2,clothing
Tablet,das,Tablets,tablet,A2,general
Tablette,die,Tabletten,pill/tablet,A2,health
Tafel,die,Tafeln,board/sign,A2,education
Tasche,die,Taschen,bag/pocket,A2,general
Taschengeld,das,,pocket money/allowance,A2,money
Tasse,die,Tassen,cup,A2,general
Taxi,das,Taxis,taxi,A2,transportation
Team,das,Teams,team,A2,general
Tee,der,Tees,tea,A2,food
Telefon,das,Telefone,telephone/phone,A2,communication
Teller,der,Teller,plate,A2,general
Tennis,das,,tennis,A2,general
Termin,der,Termine,appointment,A2,time
Text,der,Texte,text,A2,general
Theater,das,Theater,theater,A2,places
Thema,das,Themaen,topic/theme,A2,general
Ticket,das,Tickets,ticket,A2,transportation
Tier,das,Tiere,animal,A2,animals
Tipp,der,Tipps,tip/hint,A2,general
Tisch,der,Tische,table,A2,furniture
Titel,der,Titel,title,A2,general
Toilette,die,Toiletten,toilet,A2,home
Tomate,die,Tomaten,tomato,A2,food
Topf,der,Töpfe,pot,A2,furniture
Torte,die,Torten,cake/tart,A2,food
Tour,die,Touren,tour,A2,general
Tourist,der,Touristen,tourist (male),A2,people
Touristin,die,Touristinnen,tourist (female),A2,people
Training,das,Trainings,training,A2,general
Traum,der,Träume,dream,A2,general
Treppe,die,Treppen,stairs,A2,home
Tür,die,Türen,door,A2,home
Uhr,die,Uhren,clock/watch/hour,A2,time
Umzug,der,Umzüge,move/moving,A2,general
Unfall,der,Unfälle,accident,A2,general
Universität,die,Universitäten,university,A2,education
Unterkunft,die,Unterkünfte,accommodation,A2,places
Unterricht,der,,lesson/class/instruction,A2,education
Unterschied,der,Unterschiede,difference,A2,general
Unterschrift,die,Unterschriften,signature,A2,general
Urlaub,der,Urlaube,vacation/holiday,A2,time
Veranstaltung,die,Veranstaltungen,event,A2,general
Verein,der,Vereine,club/association,A2,general
Vermieter,der,Vermieter,landlord,A2,people
Vermieterin,die,Vermieterinnen,landlord (female),A2,people
Verspätung,die,Verspätungen,delay,A2,transportation
Vertrag,der,Verträge,contract,A2,general
Vogel,der,Vögel,bird,A2,animals
Volleyball,der,Volleybälle,volleyball,A2,general
Vorname,der,Vornamen,first name,A2,people
Vorschlag,der,Vorschläge,suggestion/proposal,A2,communication
Wagen,der,Wagen,car/wagon,A2,transportation
Wald,der,Wälder,forest/woods,A2,nature
Wasser,das,,water,A2,food
Webseite,die,Webseiten,website/web page,A2,communication
Weg,der,Wege,way/path,A2,places
Welt,die,Welten,world,A2,general
Werkstatt,die,Werkstätten,workshop/garage,A2,places
Wettbewerb,der,Wettbewerbe,competition/contest,A2,general
Wetter,das,,weather,A2,weather
Wind,der,Winde,wind,A2,weather
Witz,der,Witze,joke,A2,general
Woche,die,Wochen,week,A2,time
Wochenende,das,Wochenenden,weekend,A2,time
Wohnung,die,Wohnungen,apartment,A2,home
Wohnzimmer,das,Wohnzimmer,living room,A2,home
Wolke,die,Wolken,cloud,A2,weather
Workshop,der,Workshops,workshop,A2,general
Wort,das,Wörter,word,A2,general
Wunsch,der,Wünsche,wish,A2,general
Wurst,die,Würste,sausage,A2,food
Wäsche,die,Wäschen,laundry/wash,A2,home
Zahl,die,Zahlen,number,A2,general
Zahn,der,Zähne,tooth,A2,body
Zeit,die,Zeiten,time,A2,time
Zeitschrift,die,Zeitschriften,magazine,A2,general
Zeitung,die,Zeitungen,newspaper,A2,communication
Zelt,das,Zelte,tent,A2,general
Zentrum,das,Zentrumen,center,A2,places
Zettel,der,Zettel,note/slip of paper,A2,general
Zeugnis,das,Zeugnisse,certificate/report card,A2,education
Ziel,das,Ziele,goal/destination,A2,general
Zimmer,das,Zimmer,room,A2,home
Zirkus,der,Zirkusse,circus,A2,general
Zitrone,die,Zitronen,lemon,A2,food
Zoo,der,Zoos,zoo,A2,places
Zucker,der,,sugar,A2,food
Zug,der,Züge,train,A2,transportation
Öl,das,Öle,oil,A2,food
Übersetzung,die,Übersetzungen,translation,A2,general
