german,article,plural,english,level,category
Kindergarten,der,Kindergärten,kindergarten,A1,education
Kino,das,Kinos,cinema,A1,places
Kiosk,der,Kioske,kiosk,A1,places
Klasse,die,Klassen,class,A1,education
Kleidung,die,,clothing,A1,clothing
Koffer,der,Koffer,suitcase,A1,general
Kollege,der,Kollegen,colleague,A1,people
Konto,das,Konten,account,A1,money
Kopf,der,Köpfe,head,A1,body
Küche,die,Küchen,kitchen,A1,home
Kuchen,der,Kuchen,cake,A1,food
Kugelschreiber,der,Kugelschreiber,ballpoint pen,A1,education
Kühlschrank,der,Kühlschränke,refrigerator,A1,furniture
Kunde,der,Kunden,customer,A1,people
Kurs,der,Kurse,course,A1,education
Laden,der,Läden,shop,A1,places
Land,das,Länder,country,A1,places
Leben,das,Leben,life,A1,general
Lebensmittel,die,,groceries,A1,food
Lehrer,der,Lehrer,teacher,A1,people
Leute,die,,people,A1,people
Licht,das,Lichter,light,A1,general
Lied,das,Lieder,song,A1,general
Lkw,der,Lkws,truck,A1,transportation
Lokal,das,Lokale,restaurant/pub,A1,places
Lösung,die,Lösungen,solution,A1,general
Mädchen,das,Mädchen,girl,A1,people
Mann,der,Männer,man/husband,A1,people
Maschine,die,Maschinen,machine,A1,general
Meer,das,Meere,sea,A1,nature
Mensch,der,Menschen,person/human,A1,people
Miete,die,Mieten,rent,A1,money
Milch,die,,milk,A1,food
Minute,die,Minuten,minute,A1,time
Mitte,die,Mitten,middle,A1,general
Möbel,die,,furniture,A1,furniture
Moment,der,Momente,moment,A1,time
Monat,der,Monate,month,A1,time
Mund,der,Münder,mouth,A1,body
Mutter,die,Mütter,mother,A1,people
Nacht,die,Nächte,night,A1,time
Name,der,Namen,name,A1,people
Norden,der,,north,A1,general
Nummer,die,Nummern,number,A1,general
Obst,das,,fruit,A1,food
Öl,das,Öle,oil,A1,food
Oma,die,Omas,grandma,A1,people
Opa,der,Opas,grandpa,A1,people
Ordnung,die,,order,A1,general
Ort,der,Orte,place,A1,places
Osten,der,,east,A1,general
Papier,das,Papiere,paper,A1,general
Papiere,die,,documents,A1,general
Partner,der,Partner,partner,A1,people
Partnerin,die,Partnerinnen,partner (female),A1,people
Party,die,Partys,party,A1,general
Pass,der,Pässe,passport,A1,general
Pause,die,Pausen,break,A1,time
Plan,der,Pläne,plan,A1,general
Platz,der,Plätze,place/seat/square,A1,places
Polizei,die,,police,A1,places
Post,die,,post office/mail,A1,places
Postleitzahl,die,Postleitzahlen,postal code,A1,general
Praktikum,das,Praktika,internship,A1,education
Praxis,die,Praxen,practice/office,A1,health
Preis,der,Preise,price,A1,money
Problem,das,Probleme,problem,A1,general
Prospekt,der,Prospekte,brochure,A1,general
Prüfung,die,Prüfungen,exam,A1,education
Raum,der,Räume,room/space,A1,home
Rechnung,die,Rechnungen,bill,A1,money
Regen,der,,rain,A1,weather
Reis,der,,rice,A1,food
Reise,die,Reisen,trip,A1,general
Reisebüro,das,Reisebüros,travel agency,A1,places
Reiseführer,der,Reiseführer,travel guide,A1,general
Reparatur,die,Reparaturen,repair,A1,general
Restaurant,das,Restaurants,restaurant,A1,places
Rezeption,die,Rezeptionen,reception,A1,places
Saft,der,Säfte,juice,A1,food
Salat,der,Salate,salad,A1,food
Salz,das,Salze,salt,A1,food
Satz,der,Sätze,sentence,A1,general
S-Bahn,die,S-Bahnen,commuter train,A1,transportation
Schalter,der,Schalter,counter,A1,places
Schild,das,Schilder,sign,A1,general
Schinken,der,Schinken,ham,A1,food
Schluss,der,Schlüsse,end/conclusion,A1,time
Schlüssel,der,Schlüssel,key,A1,general
Schrank,der,Schränke,closet/cupboard,A1,furniture
Schuh,der,Schuhe,shoe,A1,clothing
Schule,die,Schulen,school,A1,education
Schüler,der,Schüler,student/pupil,A1,people
Schwester,die,Schwestern,sister,A1,people
Schwimmbad,das,Schwimmbäder,swimming pool,A1,places
See,der,Seen,lake,A1,nature
Sehenswürdigkeit,die,Sehenswürdigkeiten,sight/attraction,A1,places
Sekunde,die,Sekunden,second,A1,time
Sofa,das,Sofas,sofa,A1,furniture
Sohn,der,Söhne,son,A1,people
Sonne,die,Sonnen,sun,A1,weather
Speisekarte,die,Speisekarten,menu,A1,food
Sport,der,,sport,A1,general
Sprache,die,Sprachen,language,A1,communication
Stadt,die,Städte,city,A1,places
Stelle,die,Stellen,position/place,A1,education
Stock,der,Stockwerke,floor/story,A1,home
Straße,die,Straßen,street,A1,places
Straßenbahn,die,Straßenbahnen,tram,A1,transportation
Student,der,Studenten,student,A1,people
Studium,das,Studien,studies,A1,education
Stunde,die,Stunden,hour,A1,time
Süden,der,,south,A1,general
Tag,der,Tage,day,A1,time
Tasche,die,Taschen,bag/pocket,A1,general
Taxi,das,Taxis,taxi,A1,transportation
Tee,der,Tees,tea,A1,food
Teil,der,Teile,part,A1,general
Telefon,das,Telefone,telephone,A1,communication
Termin,der,Termine,appointment,A1,time
Test,der,Tests,test,A1,education
Text,der,Texte,text,A1,general
Thema,das,Themen,topic,A1,general
Ticket,das,Tickets,ticket,A1,transportation
Tisch,der,Tische,table,A1,furniture
Tochter,die,Töchter,daughter,A1,people
Toilette,die,Toiletten,toilet,A1,home
Tomate,die,Tomaten,tomato,A1,food
Treppe,die,Treppen,stairs,A1,home
Uhr,die,Uhren,clock/watch,A1,time
Unterricht,der,,lesson/class,A1,education
Unterschrift,die,Unterschriften,signature,A1,general
Urlaub,der,Urlaube,vacation,A1,time
Vater,der,Väter,father,A1,people
Verein,der,Vereine,club/association,A1,general
Verkäufer,der,Verkäufer,salesperson,A1,people
Vermieter,der,Vermieter,landlord,A1,people
Verwandte,der,Verwandten,relative,A1,people
Vollpension,die,,full board,A1,food
Vorname,der,Vornamen,first name,A1,people
Vorsicht,die,,caution,A1,general
Vorwahl,die,Vorwahlen,area code,A1,communication
Wasser,das,,water,A1,food
Wein,der,Weine,wine,A1,food
Welt,die,Welten,world,A1,general
Westen,der,,west,A1,general
Wetter,das,,weather,A1,weather
Wiederhören,das,,goodbye (phone),A1,communication
Wiedersehen,das,,goodbye,A1,communication
Wind,der,Winde,wind,A1,weather
Woche,die,Wochen,week,A1,time
Wochenende,das,Wochenenden,weekend,A1,time
Wochentag,der,Wochentage,weekday,A1,time
Wohnung,die,Wohnungen,apartment,A1,home
Wort,das,Wörter,word,A1,general
Zeit,die,Zeiten,time,A1,time
Zeitung,die,Zeitungen,newspaper,A1,communication
Zigarette,die,Zigaretten,cigarette,A1,general
Zimmer,das,Zimmer,room,A1,home
Zoll,der,Zölle,customs,A1,general
Zug,der,Züge,train,A1,transportation
