german,article,plural,english,level,category
Smartphone,das,Smartphones,smartphone,B1,communication
Snack,der,Snacks,snack,B1,food
Software,die,,software,B1,general
Song,der,Songs,song,B1,communication
Spot,der,Spots,spot / advertisement,B1,communication
Steak,das,Steaks,steak,B1,food
Swimmingpool,der,Swimmingpools,swimming pool,B1,places
Taxi,das,Taxis,taxi,B1,transportation
Team,das,Teams,team,B1,people
Terminal,das,Terminals,terminal,B1,places
Tour,die,Touren,tour,B1,transportation
Trend,der,Trends,trend,B1,general
T-Shirt,das,T-Shirts,T-shirt,B1,clothing
User,der,User,user,B1,people
Aufgabe,die,,task / assignment,B1,education
Antwortbogen,der,,answer sheet,B1,education
Anzeige,die,,advertisement / notice,B1,communication
Aussage,die,,statement,B1,communication
Durchsage,die,,announcement,B1,communication
Einleitung,die,,introduction,B1,education
Folie,die,,slide / transparency / foil,B1,general
Hilfsmittel,das,,aid / tool,B1,general
Kommentar,der,,comment / commentary,B1,communication
Lösung,die,,solution,B1,general
Moderator,der,,presenter / moderator,B1,people
Modul,das,,module,B1,general
Präsentation,die,,presentation,B1,education
Punkt,der,,point / dot,B1,general
Rückmeldung,die,,feedback,B1,communication
Struktur,die,,structure,B1,general
Textaufbau,der,,text structure,B1,education
Norden,der,,north,B1,places
Osten,der,,east,B1,places
Süden,der,,south,B1,places
Westen,der,,west,B1,places
Deutsche,der,Deutschen,German (male),B1,people
Europäer,der,Europäer,European (male),B1,people
Österreicher,der,Österreicher,Austrian (male),B1,people
Schweiz,die,,Switzerland,B1,places
Schweizer,der,Schweizer,Swiss (male),B1,people
Grieche,der,Griechen,Greek (male),B1,people
Türkei,die,,Turkey,B1,places
Türke,der,Türken,Turkish person (male),B1,people
Ukraine,die,,Ukraine,B1,places
Ukrainer,der,,Ukrainian (male),B1,people
Bund,der,,federation / association,B1,general
Bundespräsident,der,Bundespräsidenten,federal president,B1,people
Bürgermeister,der,Bürgermeister,mayor,B1,people
Demokratie,die,,democracy,B1,general
Europäische Union,die,,European Union,B1,general
Gemeinde,die,,municipality / community,B1,places
Minister,der,Minister,minister,B1,people
Parlament,das,,parliament,B1,general
Partei,die,Parteien,political party,B1,general
Regierung,die,Regierungen,government,B1,general
Staat,der,Staaten,state / country,B1,places
Affe,der,Affen,monkey / ape,B1,animals
Bär,der,Bären,bear,B1,animals
Biene,die,Bienen,bee,B1,animals
Elefant,der,Elefanten,elephant,B1,animals
Ente,die,Enten,duck,B1,animals
Fisch,der,Fische,fish,B1,animals
Fliege,die,Fliegen,fly,B1,animals
Giraffe,die,Giraffen,giraffe,B1,animals
Hase,der,Hasen,hare / rabbit,B1,animals
Hund,der,Hunde,dog,B1,animals
Insekt,das,Insekten,insect,B1,animals
Katze,die,Katzen,cat,B1,animals
Krokodil,das,Krokodile,crocodile,B1,animals
Kuh,die,Kühe,cow,B1,animals
Löwe,der,Löwen,lion,B1,animals
Maus,die,Mäuse,mouse,B1,animals
Mücke,die,Mücken,mosquito / gnat,B1,animals
Pferd,das,Pferde,horse,B1,animals
Pinguin,der,Pinguine,penguin,B1,animals
Schaf,das,Schafe,sheep,B1,animals
Schildkröte,die,Schildkröten,tortoise / turtle,B1,animals
Schlange,die,Schlangen,snake,B1,animals
Schwein,das,Schweine,pig,B1,animals
Vogel,der,Vögel,bird,B1,animals
Frühling,der,,spring (season),B1,time
Sommer,der,,summer,B1,time
Januar,der,,January,B1,time
Februar,der,,February,B1,time
März,der,,March,B1,time
April,der,,April,B1,time
Mai,der,,May,B1,time
Juni,der,,June,B1,time
Juli,der,,July,B1,time
August,der,,August,B1,time
September,der,,September,B1,time
Oktober,der,,October,B1,time
November,der,,November,B1,time
Dezember,der,,December,B1,time
Tag,der,,day,B1,time
Morgen,der,,morning,B1,time
Vormittag,der,,late morning / before noon,B1,time
Mittag,der,,midday / noon,B1,time
Nachmittag,der,,afternoon,B1,time
Abend,der,,evening,B1,time
Nacht,die,,night,B1,time
Mitternacht,die,,midnight,B1,time
Herbst,der,,autumn / fall,B1,time
Winter,der,,winter,B1,time
Sekunde,die,Sekunden,second,B1,time
Minute,die,Minuten,minute,B1,time
Stunde,die,Stunden,hour,B1,time
Woche,die,Wochen,week,B1,time
Monat,der,Monate,month,B1,time
Jahr,das,Jahre,year,B1,time
Jahrzehnt,das,Jahrzehnte,decade,B1,time
Jahrhundert,das,Jahrhunderte,century,B1,time
Jahrtausend,das,Jahrtausende,millennium,B1,time
Wochentag,der,,weekday,B1,time
Wochenende,das,,weekend,B1,time
Montag,der,,Monday,B1,time
Dienstag,der,,Tuesday,B1,time
Mittwoch,der,,Wednesday,B1,time
Donnerstag,der,,Thursday,B1,time
Freitag,der,,Friday,B1,time
Samstag,der,,Saturday,B1,time
Sonntag,der,,Sunday,B1,time
Abitur,das,,school-leaving exam / A-levels,B1,education
Abonnement,das,Abonnements,subscription,B1,communication
Abschluss,der,Abschlüsse,conclusion / degree / qualification,B1,education
Abschnitt,der,Abschnitte,section / paragraph,B1,general
Absender,der,Absender,sender,B1,communication
Absicht,die,Absichten,intention / purpose,B1,general
Abteilung,die,Abteilungen,department,B1,education
Abwart,der,Abwarte,caretaker / janitor,B1,people
Abbildung,die,Abbildungen,illustration / figure,B1,general
Abenteuer,das,Abenteuer,adventure,B1,general
Abfahrt,die,Abfahrten,departure,B1,transportation
Abfall,der,Abfälle,waste / rubbish,B1,general
Abfalleimer,der,Abfalleimer,rubbish bin / waste bin,B1,home
Getränke,die,,drinks / beverages,B1,food
Gerät,das,,device / appliance,B1,general
Alphabet,das,Alphabete,alphabet,B1,education
Alter,das,,age,B1,general
Altenheim,das,Altenheime,nursing home / care home,B1,places
Altersheim,das,Altersheime,old people's home,B1,places
Alternative,die,Alternativen,alternative,B1,general
Ampel,die,Ampeln,traffic light,B1,transportation
Amt,das,Ämter,office / authority,B1,places
Adresse,die,Adressen,address,B1,general
Ahnung,die,,idea / clue,B1,general
Aktion,die,Aktionen,action / campaign,B1,general
Aktivität,die,Aktivitäten,activity,B1,general
Alarm,der,Alarme,alarm,B1,general
Alkohol,der,,alcohol,B1,food
Alltag,der,,everyday life,B1,general
Angst,die,,fear / anxiety,B1,communication
Ankunft,die,,arrival,B1,transportation
Anlage,die,Anlagen,facility / attachment / investment,B1,general
Anleitung,die,Anleitungen,instructions / guide,B1,general
Anmeldung,die,Anmeldungen,registration / enrollment,B1,education
Annonce,die,Annoncen,advertisement / notice,B1,communication
Anrede,die,Anreden,form of address / salutation,B1,communication
Anruf,der,Anrufe,phone call,B1,communication
Anrufbeantworter,der,Anrufbeantworter,answering machine,B1,communication
Ansage,die,Ansagen,announcement,B1,communication
Anbieter,der,Anbieter,provider / supplier,B1,money
Angebot,das,Angebote,offer / deal,B1,money
Änderung,die,Änderungen,change / amendment,B1,general
Anfang,der,Anfänge,beginning / start,B1,general
Angabe,die,Angaben,information / details,B1,general
Anwalt,der,Anwälte,lawyer / attorney,B1,people
Anzug,der,Anzüge,suit,B1,clothing
Apartment,das,Apartments,apartment / flat,B1,home
Apfel,der,Äpfel,apple,B1,food
Apotheke,die,Apotheken,pharmacy / chemist,B1,places
Apparat,der,Apparate,apparatus / device,B1,general
Appetit,der,,appetite,B1,food
Aprikose,die,Aprikosen,apricot,B1,food
Arbeit,die,Arbeiten,work / job / labour,B1,education
Arbeiter,der,Arbeiter,worker / labourer,B1,people
Arbeitserlaubnis,die,,work permit,B1,education
Arbeitslosigkeit,die,,unemployment,B1,education
Arbeitsplatz,der,Arbeitsplätze,workplace / job,B1,education
Arbeitsstelle,die,Arbeitsstellen,place of work / job,B1,education
Anschluss,der,Anschlüsse,connection,B1,communication
Anspruch,der,Ansprüche,claim / entitlement,B1,general
Angestellte,der,Angestellten,employee,B1,people
Antrag,der,Anträge,application / request / motion,B1,general
Antwort,die,Antworten,answer / reply,B1,communication
Aufenthalt,der,Aufenthalte,stay / residence,B1,general
Aufforderung,die,Aufforderungen,request / invitation / demand,B1,communication
Aufnahme,die,Aufnahmen,recording / admission / photograph,B1,general
Architekt,der,Architekten,architect,B1,people
Ärger,der,,annoyance / anger,B1,communication
Arm,der,Arme,arm,B1,body
Art,die,Arten,type / kind / manner,B1,general
Artikel,der,Artikel,article,B1,communication
Arzt,der,Ärzte,doctor / physician,B1,people
Asyl,das,,asylum,B1,general
Atem,der,,breath,B1,body
Ausbildung,die,Ausbildungen,training / education / apprenticeship,B1,education
Ausdruck,der,Ausdrücke,expression / printout,B1,communication
Ausfahrt,die,Ausfahrten,exit (road) / departure,B1,transportation
Ausflug,der,Ausflüge,excursion / day trip,B1,transportation
Ausgabe,die,Ausgaben,edition / expense / output,B1,money
Ausgang,der,Ausgänge,exit / outcome,B1,places
Aushilfe,die,Aushilfen,temporary worker / help,B1,people
Auskunft,die,Auskünfte,information / inquiry,B1,general
Ausland,das,,abroad / foreign country,B1,places
Auftrag,der,Aufträge,order / assignment / commission,B1,education
Auftritt,der,Auftritte,appearance / performance,B1,communication
Aufzug,der,Aufzüge,elevator / lift,B1,home
Auge,das,Augen,eye,B1,body
Augenblick,der,Augenblicke,moment / instant,B1,time
Aussicht,die,Aussichten,view / prospect / outlook,B1,nature
Aussprache,die,,pronunciation,B1,education
Ausstellung,die,Ausstellungen,exhibition / display,B1,places
Auswahl,die,,selection / choice,B1,general
Ausweis,der,Ausweise,identity card / ID,B1,general
Auto,das,Autos,car,B1,transportation
Autobahn,die,Autobahnen,motorway / highway,B1,transportation
Automat,der,Automaten,vending machine / automat,B1,money
Autor,der,Autoren,author,B1,people
Ausländer,der,Ausländer,foreigner,B1,people
Ausnahme,die,Ausnahmen,exception,B1,general
Bargeld,das,,cash,B1,money
Bart,der,Bärte,beard,B1,body
Basketball,der,Basketbälle,basketball,B1,general
Batterie,die,Batterien,battery,B1,general
Bauch,der,Bäuche,stomach / belly,B1,body
Bau,der,Bauten,construction / building,B1,places
Baustelle,die,Baustellen,construction site,B1,places
Bauer,der,Bauern,farmer,B1,people
Baum,der,Bäume,tree,B1,nature
Beamte,der,Beamten,civil servant / official,B1,people
Bedarf,der,,need / demand / requirement,B1,general
Bedeutung,die,Bedeutungen,meaning / importance / significance,B1,communication
Bäckerei,die,Bäckereien,bakery,B1,places
Bad,das,Bäder,bath / bathroom,B1,home
Badewanne,die,Badewannen,bathtub,B1,home
Bahn,die,Bahnen,railway / train / track,B1,transportation
Straßenbahn,die,Straßenbahnen,tram / streetcar,B1,transportation
U-Bahn,die,U-Bahnen,underground / subway / metro,B1,transportation
Bahnhof,der,Bahnhöfe,train station,B1,places
Bahnsteig,der,Bahnsteige,platform,B1,transportation
Balkon,der,Balkone,balcony,B1,home
Ball,der,Bälle,ball,B1,general
Ballett,das,Ballette,ballet,B1,communication
Banane,die,Bananen,banana,B1,food
Bank,die,Bänke,bench / bank,B1,money
Bancomat/Bankomat,der,,ATM / cash machine,B1,money
Bankleitzahl,die,Bankleitzahlen,bank sort code,B1,money
Bankomat-Karte,die,Bankomat-Karten,debit card / bank card,B1,money
Behörde,die,Behörden,authority / government office,B1,places
Beispiel,das,Beispiele,example,B1,general
Beitrag,der,Beiträge,contribution / article,B1,general
Bekannte,der,Bekannten,acquaintance,B1,people
Bedienungsanleitung,die,,operating instructions / user manual,B1,general
Bedingung,die,Bedingungen,condition / requirement,B1,general
Beginn,der,,beginning / start,B1,time
Begründung,die,Begründungen,reason / justification,B1,general
Bericht,der,Berichte,report,B1,communication
Beruf,der,Berufe,profession / occupation,B1,education
Beschäftigung,die,,employment / occupation / activity,B1,education
Bescheid,der,Bescheide,notification / decision,B1,general
Beschreibung,die,Beschreibungen,description,B1,communication
Beleg,der,Belege,receipt / proof / document,B1,money
Benzin,das,,petrol / gasoline,B1,transportation
Beratung,die,,advice / consultation,B1,general
Bereich,der,Bereiche,area / field / sector,B1,general
Berg,der,Berge,mountain / hill,B1,nature
Einbrecher,der,Einbrecher,burglar,B1,people
Betrag,der,Beträge,amount / sum,B1,money
Betreuer,der,Betreuer,supervisor / carer / support worker,B1,people
Betreuung,die,,care / supervision,B1,general
Betrieb,der,Betriebe,company / operation / business,B1,education
Betriebsrat,der,Betriebsräte,works council,B1,education
Bett,das,Betten,bed,B1,furniture
Bevölkerung,die,,population,B1,people
Bewegung,die,Bewegungen,movement / exercise,B1,general
Beweis,der,Beweise,proof / evidence,B1,general
Bewerbung,die,Bewerbungen,application,B1,education
Besprechung,die,Besprechungen,meeting / discussion,B1,education
Besserung,die,,improvement / recovery,B1,health
Bestätigung,die,Bestätigungen,confirmation,B1,general
Besuch,der,Besuche,visit,B1,general
Bitte,die,Bitten,request / please,B1,communication
Blatt,das,Blätter,leaf / sheet,B1,nature
Bleistift,der,Bleistifte,pencil,B1,general
Blick,der,Blicke,look / view / glance,B1,general
Blitz,der,Blitze,lightning / flash,B1,weather
Blume,die,Blumen,flower,B1,nature
Bluse,die,Blusen,blouse,B1,clothing
Blut,das,,blood,B1,body
Bewohner,der,Bewohner,resident / inhabitant,B1,people
Beziehung,die,Beziehungen,relationship,B1,communication
Bibliothek,die,Bibliotheken,library,B1,places
Bier,das,,beer,B1,food
Bild,das,Bilder,picture / image,B1,communication
Bildschirm,der,Bildschirme,screen / monitor,B1,general
Billett,das,Billette,ticket (Swiss),B1,transportation
Biologie,die,,biology,B1,education
Birne,die,Birnen,pear / light bulb,B1,food
Brief,der,Briefe,letter,B1,communication
Briefkasten,der,Briefkästen,letterbox / mailbox,B1,home
Briefmarke,die,Briefmarken,postage stamp,B1,communication
Briefträger,der,,postman / mail carrier,B1,people
Briefumschlag,der,Briefumschläge,envelope,B1,communication
Brieftasche,die,Brieftaschen,wallet / purse,B1,clothing
Brille,die,Brillen,glasses / spectacles,B1,clothing
Broschüre,die,Broschüren,brochure / leaflet,B1,communication
Brot,das,Brote,bread,B1,food
Brötchen,das,Brötchen,bread roll,B1,food
Brötli,das,Brötli,bread roll (Swiss),B1,food
Brücke,die,Brücken,bridge,B1,places
Bruder,der,Brüder,brother,B1,people
Brust,die,,chest / breast,B1,body
Bub,der,Buben,boy (Austrian),B1,people
Buch,das,Bücher,book,B1,education
Buchhandlung,die,Buchhandlungen,bookshop,B1,places
Boden,der,Böden,floor / ground / soil,B1,home
Bogen,der,Bogen,arc / sheet / bow,B1,general
Bohne,die,Bohnen,bean,B1,food
Boot,das,Boote,boat,B1,transportation
Botschaft,die,Botschaften,embassy / message,B1,places
Braten,der,Braten,roast,B1,food
Breite,die,Breiten,width / breadth,B1,general
Bremse,die,Bremsen,brake,B1,transportation
Fahrt,die,,journey / trip / ride,B1,transportation
Licht,das,,light,B1,home
Couch,die,Couchs,couch / sofa,B1,furniture
Creme,die,Cremen,cream,B1,health
Cousin,der,Cousins,cousin (male),B1,people
Cousine,die,Cousinen,cousin (female),B1,people
Couvert,das,Couverts,envelope (Swiss),B1,communication
Dach,das,Dächer,roof,B1,home
Buchstabe,der,Buchstaben,letter (of alphabet),B1,education
Büchse,die,Büchsen,can / tin / box,B1,general
Buffet,das,Buffets,buffet,B1,food
Bühne,die,Bühnen,stage,B1,places
Burg,die,Burgen,castle / fortress,B1,places
Bürger,der,Bürger,citizen,B1,people
Büro,das,Büros,office,B1,places
Bürste,die,Bürsten,brush,B1,health
Zahnbürste,die,Zahnbürsten,toothbrush,B1,health
Bus,der,Busse,bus,B1,transportation
Butter,die,,butter,B1,food
Café,das,Cafés,café,B1,places
Cafeteria,die,Cafeterias,cafeteria,B1,places
Chance,die,Chancen,chance / opportunity,B1,general
Chef,der,Chefs,boss / head / chef,B1,people
Coiffeur,der,Coiffeure,"hairdresser (male, Swiss)",B1,people
Coiffeuse,die,Coiffeusen,"hairdresser (female, Swiss)",B1,people
Dauer,die,,duration,B1,time
Decke,die,Decken,ceiling / blanket,B1,furniture
Gedanke,der,Gedanken,thought / idea,B1,communication
Denkmal,das,Denkmäler,monument / memorial,B1,places
Dessert,das,Desserts,dessert,B1,food
Dame,die,Damen,lady / woman,B1,people
Dank,der,,thanks / gratitude,B1,communication
Darstellung,die,Darstellungen,representation / depiction,B1,communication
Datei,die,Dateien,file (computer),B1,general
Datum,das,,date,B1,time
Daten,die,,data,B1,general
Diskussion,die,Diskussionen,discussion,B1,communication
Distanz,die,Distanzen,distance,B1,general
Doktor,der,Doktoren,doctor,B1,people
Dokument,das,Dokumente,document,B1,general
Donner,der,Donner,thunder,B1,weather
Dose,die,Dosen,can / tin / box,B1,general
Dreck,der,,dirt / filth,B1,general
Detail,das,Details,detail,B1,general
Diät,die,,diet,B1,health
Dialekt,der,Dialekte,dialect,B1,education
Dialog,der,Dialoge,dialogue,B1,communication
Dieb,der,Diebe,thief,B1,people
Dienst,der,,service / duty,B1,education
Ding,das,Dinge,thing / object,B1,general
Diplom,das,Diplome,diploma / degree,B1,education
Direktor,der,Direktoren,director / head teacher,B1,people
Diskothek,die,Diskotheken,discotheque / nightclub,B1,places
Durchschnitt,der,Durchschnitte,average,B1,general
Durst,der,,thirst,B1,food
Dusche,die,Duschen,shower,B1,home
Droge,die,Drogen,drug,B1,health
Drogerie,die,Drogerien,drugstore / toiletries shop,B1,places
Drucker,der,Drucker,printer,B1,general
Druck,der,,pressure / print,B1,general
Eile,die,,hurry / haste,B1,general
Einbruch,der,Einbrüche,burglary / break-in,B1,general
Eindruck,der,Eindrücke,impression,B1,general
Einfahrt,die,Einfahrten,entrance / driveway,B1,transportation
Einfall,der,Einfälle,idea / thought,B1,general
Einfluss,der,Einflüsse,influence,B1,general
Ecke,die,Ecken,corner,B1,places
Eck,das,Ecken,corner (Austrian),B1,places
Ehe,die,Ehen,marriage,B1,people
Ehefrau,die,Ehefrauen,wife,B1,people
Ehepaar,das,Ehepaare,married couple,B1,people
Einnahme,die,Einnahmen,income / intake,B1,money
Einrichtung,die,Einrichtungen,furnishings / facility / institution,B1,home
Einschreiben,das,Einschreiben,registered letter,B1,communication
Eintritt,der,,entry / admission,B1,money
Einwohner,der,Einwohner,inhabitant / resident,B1,people
Einführung,die,Einführungen,introduction,B1,education
Eingang,der,Eingänge,entrance,B1,places
Einkauf,der,Einkäufe,shopping / purchase,B1,money
Einkommen,das,Einkommen,income,B1,money
Einladung,die,Einladungen,invitation,B1,communication
Ende,das,,end,B1,time
Energie,die,Energien,energy,B1,general
Enkel,der,Enkel,grandchild / grandson,B1,people
Entfernung,die,Entfernungen,distance,B1,general
Entlassung,die,Entlassungen,dismissal / discharge,B1,education
Einzahlung,die,Einzahlungen,deposit / payment,B1,money
Eis,das,,ice / ice cream,B1,food
Eisenbahn,die,Eisenbahnen,railway / railroad,B1,transportation
Eltern,die,,parents,B1,people
Empfang,der,Empfänge,reception / receipt,B1,places
Empfänger,der,Empfänger,recipient / receiver,B1,communication
Empfehlung,die,Empfehlungen,recommendation,B1,general
Erdapfel,der,Erdäpfel,potato (Austrian),B1,food
Erdgeschoss/,das,,ground floor,B1,home
Ereignis,das,Ereignisse,event / occurrence,B1,general
Erfahrung,die,Erfahrungen,experience,B1,general
Erfindung,die,Erfindungen,invention,B1,general
Erfolg,der,Erfolge,success,B1,general
Ergebnis,das,Ergebnisse,result / outcome,B1,general
Entscheidung,die,Entscheidungen,decision,B1,general
Entschuldigung,die,Entschuldigungen,excuse / apology,B1,communication
Enttäuschung,die,Enttäuschungen,disappointment,B1,communication
Entwicklung,die,Entwicklungen,development,B1,general
Erde,die,,earth / ground / soil,B1,nature
Steuern,die,,taxes,B1,money
Ermäßigung,die,Ermäßigungen,discount / reduction,B1,money
Ernährung,die,,nutrition / diet,B1,food
Ernte,die,Ernten,harvest,B1,nature
Eröffnung,die,Eröffnungen,opening,B1,general
Ersatz,der,,replacement / substitute,B1,general
Erhöhung,die,Erhöhungen,increase / rise,B1,general
Erholung,die,Erholungen,recovery / relaxation,B1,health
Erinnerung,die,Erinnerungen,memory / reminder,B1,general
Erkältung,die,Erkältungen,cold (illness),B1,health
Erklärung,die,Erklärungen,explanation / declaration,B1,communication
Erlaubnis,die,,permission,B1,general
Erlebnis,das,Erlebnisse,experience / event,B1,general
Experte,der,Experten,expert,B1,people
Export,der,Exporte,export,B1,money
Fabrik,die,Fabriken,factory,B1,places
Fach,das,Fächer,subject / compartment,B1,education
Fachmann,der,,specialist / expert (male),B1,people
Fachfrau,die,Fachfrauen,specialist / expert (female),B1,people
Fachleute,die,,specialists / experts,B1,people
Fähigkeit,die,Fähigkeiten,ability / skill,B1,general
Fähre,die,Fähren,ferry,B1,transportation
Erwachsene,der,Erwachsenen,adult,B1,people
Erzählung,die,Erzählungen,story / narrative,B1,communication
Erziehung,die,,upbringing / education,B1,education
Essen,das,Essen,food / meal,B1,food
Essig,der,,vinegar,B1,food
Etage,die,Etagen,floor / storey,B1,home
Farbe,die,Farben,colour / paint,B1,colors
Faschierte,das,,minced meat (Austrian),B1,food
Fasching,der,Fasching,carnival / Mardi Gras,B1,communication
Fasnacht,die,,carnival (Swiss/German),B1,communication
Fauteuil,der,Fauteuils,armchair (Austrian/Swiss),B1,furniture
Fehler,der,Fehler,mistake / error,B1,general
Feier,die,Feiern,celebration / party,B1,communication
Feierabend,der,,end of the working day,B1,time
Feiertag,der,Feiertage,public holiday,B1,time
Feld,das,Felder,field,B1,nature
Fenster,das,Fenster,window,B1,home
Fahrbahn,die,Fahrbahnen,roadway / carriageway,B1,transportation
Fahrer,der,Fahrer,driver,B1,people
Fahrkarte,die,Fahrkarten,ticket (travel),B1,transportation
Fahrplan,der,Fahrpläne,timetable / schedule,B1,transportation
Fahrrad,das,Fahrräder,bicycle,B1,transportation
Fahrzeug,das,Fahrzeuge,vehicle,B1,transportation
Faktor,der,Faktoren,factor,B1,general
Fall,der,Fälle,case / fall,B1,general
Familie,die,Familien,family,B1,people
Familienstand,der,,marital status,B1,people
Fantasie/Phantasie,die,Fantasie/Phantasien,fantasy / imagination,B1,general
Fett,das,,fat,B1,food
Feuer,das,,fire,B1,general
Feuerzeug,das,Feuerzeuge,lighter,B1,general
Feuerwehr,die,Feuerwehren,fire brigade / fire department,B1,places
Fieber,das,,fever / temperature,B1,health
Figur,die,Figuren,figure / shape / character,B1,general
Film,der,Filme,film / movie,B1,communication
Finger,der,Finger,finger,B1,body
Firma,die,Firmen,company / firm,B1,education
Fläche,die,Flächen,area / surface,B1,general
Flasche,die,Flaschen,bottle,B1,general
Fleck,der,Flecken,stain / spot,B1,general
Fleisch,das,,meat,B1,food
Fleischhauer,der,Fleischhauer,butcher (Austrian),B1,people
Ferien,die,,holidays / vacation,B1,time
Fernsehen,das,,television,B1,communication
Fernseher,der,Fernseher,television set / TV,B1,communication
Fest,das,Feste,festival / celebration,B1,communication
Festplatte,die,Festplatten,hard drive,B1,general
Formular,das,Formulare,form / application form,B1,general
Forschung,die,Forschungen,research,B1,education
Fortbildung,die,Fortbildungen,further training / professional development,B1,education
Fortschritt,der,Fortschritte,progress,B1,general
Fortsetzung,die,Fortsetzungen,continuation / sequel,B1,communication
Forum,das,Foren,forum,B1,communication
Foto,das,Fotos,photo,B1,communication
Fotoapparat,der,Fotoapparate,camera,B1,communication
Fotograf,der,Fotografen,photographer,B1,people
Fotografie,die,Fotografien,photography / photograph,B1,communication
Frage,die,Fragen,question,B1,communication
Frau,die,Frauen,woman / wife / Mrs,B1,people
Freiheit,die,,freedom / liberty,B1,general
Freizeit,die,,free time / leisure,B1,general
Flucht,die,,escape / flight,B1,general
Flohmarkt,der,Flohmärkte,flea market,B1,places
Flöte,die,Flöten,flute,B1,communication
Flug,der,Flüge,flight,B1,transportation
Flughafen,der,Flughäfen,airport,B1,places
Flugzeug,das,Flugzeuge,aeroplane / airplane,B1,transportation
Flur,der,Flure,hallway / corridor,B1,home
Fluss,der,Flüsse,river,B1,nature
Flüssigkeit,die,Flüssigkeiten,liquid / fluid,B1,general
Folge,die,Folgen,consequence / episode,B1,general
Forderung,die,Forderungen,demand / claim,B1,general
Förderung,die,Förderungen,support / promotion / funding,B1,money
Form,die,Formen,form / shape,B1,general
Stadt,die,,city / town,B1,places
Frühstück,das,,breakfast,B1,food
Führerausweis,der,Führerausweise,driving licence (Swiss),B1,transportation
Führerschein,der,Führerscheine,driving licence,B1,transportation
Führung,die,Führungen,leadership / guided tour,B1,places
Fundbüro,das,Fundbüros,lost and found / lost property office,B1,places
Freude,die,,joy / happiness,B1,communication
Freund,der,Freunde,friend / boyfriend,B1,people
Freundschaft,die,Freundschaften,friendship,B1,people
Friede,der,,peace,B1,general
Friseur,der,Friseure,hairdresser,B1,people
Frisur,die,Frisuren,hairstyle / haircut,B1,clothing
Frist,die,Fristen,deadline / period,B1,time
Frucht,die,Früchte,fruit,B1,food
Museum,das,,museum,B1,places
Garten,der,Gärten,garden,B1,nature
Gas,das,,gas,B1,general
Gast,der,Gäste,guest,B1,people
Gasthaus,das,Gasthäuser,inn / pub / guesthouse,B1,places
Gaststätte,die,Gaststätten,restaurant / pub,B1,places
Gebäude,das,Gebäude,building,B1,places
Gebäck,das,,pastries / baked goods,B1,food
Gebiet,das,Gebiete,area / region / field,B1,places
Gebirge,das,,mountains / mountain range,B1,nature
Gebrauchsanweisung,die,,instructions for use,B1,general
Gebühr,die,Gebühren,fee / charge,B1,money
Geburt,die,Geburten,birth,B1,people
Geburtstag,der,Geburtstage,birthday,B1,time
Gedicht,das,Gedichte,poem,B1,communication
Geduld,die,,patience,B1,communication
Fuß,der,Füße,foot,B1,body
Fußball,der,Fußbälle,football / soccer,B1,general
Fußgänger,der,Fußgänger,pedestrian,B1,people
Fußgängerzone,die,Fußgängerzonen,pedestrian zone,B1,places
Gabel,die,Gabeln,fork,B1,food
Galerie,die,Galerien,gallery,B1,places
Gang,der,Gänge,hallway / corridor / aisle / gear,B1,home
Garage,die,Garagen,garage,B1,home
Garantie,die,,guarantee / warranty,B1,money
